Scenario,Years,Average of Value,WS-IT
Market,2023,95.8,WS01-1
Market,2024,77.4,WS01-1
Market,2025,86.8,WS01-1
Market,2027,77.8,WS01-1
High demand,2028,62.5,WS01-1
High demand,2028,60.3,WS01-10
High demand,2028,61.0,WS01-2
High demand,2028,64.7,WS01-3
High demand,2028,60.7,WS01-4
High demand,2028,60.3,WS01-5
High demand,2028,60.7,WS01-6
High demand,2028,60.8,WS01-7
High demand,2028,64.4,WS01-8
High demand,2028,61.1,WS01-9
High demand,2028,59.4,WS02-1
High demand,2028,59.5,WS02-10
High demand,2028,62.4,WS02-2
High demand,2028,59.6,WS02-3
High demand,2028,59.4,WS02-4
High demand,2028,59.4,WS02-5
High demand,2028,59.2,WS02-6
High demand,2028,59.2,WS02-7
High demand,2028,59.3,WS02-8
High demand,2028,59.3,WS02-9
High demand,2028,76.4,WS03-1
High demand,2028,75.6,WS03-10
High demand,2028,88.6,WS03-2
High demand,2028,75.7,WS03-3
High demand,2028,75.1,WS03-4
High demand,2028,73.3,WS03-5
High demand,2028,74.5,WS03-6
High demand,2028,71.9,WS03-7
High demand,2028,75.5,WS03-8
High demand,2028,75.6,WS03-9
High demand,2028,63.0,WS04-1
High demand,2028,63.0,WS04-10
High demand,2028,63.4,WS04-2
High demand,2028,63.4,WS04-3
High demand,2028,63.0,WS04-4
High demand,2028,62.9,WS04-5
High demand,2028,63.2,WS04-6
High demand,2028,63.5,WS04-7
High demand,2028,63.0,WS04-8
High demand,2028,62.8,WS04-9
High demand,2028,87.8,WS05-1
High demand,2028,89.2,WS05-10
High demand,2028,92.9,WS05-2
High demand,2028,86.1,WS05-3
High demand,2028,90.1,WS05-4
High demand,2028,81.7,WS05-5
High demand,2028,98.8,WS05-6
High demand,2028,92.0,WS05-7
High demand,2028,90.8,WS05-8
High demand,2028,97.6,WS05-9
High demand,2028,66.5,WS06-1
High demand,2028,63.0,WS06-10
High demand,2028,75.5,WS06-2
High demand,2028,59.5,WS06-3
High demand,2028,64.0,WS06-4
High demand,2028,67.5,WS06-5
High demand,2028,63.3,WS06-6
High demand,2028,63.4,WS06-7
High demand,2028,68.0,WS06-8
High demand,2028,63.5,WS06-9
High demand,2028,61.0,WS07-1
High demand,2028,60.0,WS07-10
High demand,2028,59.4,WS07-2
High demand,2028,59.5,WS07-3
High demand,2028,60.0,WS07-4
High demand,2028,60.4,WS07-5
High demand,2028,59.6,WS07-6
High demand,2028,60.0,WS07-7
High demand,2028,59.7,WS07-8
High demand,2028,59.2,WS07-9
High demand,2028,55.4,WS08-1
High demand,2028,52.1,WS08-10
High demand,2028,52.3,WS08-2
High demand,2028,52.1,WS08-3
High demand,2028,52.4,WS08-4
High demand,2028,52.2,WS08-5
