Category,TargetYear,Average of Value,Attribute
2h battery,2028,0.0,Other revenues
2h battery,2028,23.1,Ancillary services
2h battery,2028,86.2,Option value shaping
2h battery,2028,0.0,Option value futures markets
2h battery,2028,8.4,Intrinsic market value
2h battery,2030,0.0,Other revenues
2h battery,2030,20.9,Ancillary services
2h battery,2030,90.0,Option value shaping
2h battery,2030,0.0,Option value futures markets
2h battery,2030,14.4,Intrinsic market value
2h battery,2033,0.0,Other revenues
2h battery,2033,24.1,Ancillary services
2h battery,2033,92.7,Option value shaping
2h battery,2033,0.0,Option value futures markets
2h battery,2033,12.5,Intrinsic market value
2h battery,2035,0.0,Other revenues
2h battery,2035,17.7,Ancillary services
2h battery,2035,100.5,Option value shaping
2h battery,2035,0.0,Option value futures markets
2h battery,2035,15.2,Intrinsic market value
4h battery,2028,0.0,Other revenues
4h battery,2028,12.3,Ancillary services
4h battery,2028,118.6,Option value shaping
4h battery,2028,0.0,Option value futures markets
4h battery,2028,14.1,Intrinsic market value
4h battery,2030,0.0,Other revenues
4h battery,2030,20.4,Ancillary services
4h battery,2030,126.2,Option value shaping
4h battery,2030,0.0,Option value futures markets
4h battery,2030,22.7,Intrinsic market value
4h battery,2033,0.0,Other revenues
4h battery,2033,15.1,Ancillary services
4h battery,2033,132.2,Option value shaping
4h battery,2033,0.0,Option value futures markets
4h battery,2033,24.5,Intrinsic market value
4h battery,2035,0.0,Other revenues
4h battery,2035,10.3,Ancillary services
4h battery,2035,154.8,Option value shaping
4h battery,2035,0.0,Option value futures markets
4h battery,2035,31.4,Intrinsic market value
DSR,2028,0.0,Other revenues
DSR,2028,0.0,Ancillary services
DSR,2028,0.0,Option value shaping
DSR,2028,0.0,Option value futures markets
DSR,2028,14.9,Intrinsic market value
DSR,2030,0.0,Other revenues
DSR,2030,0.0,Ancillary services
DSR,2030,0.0,Option value shaping
DSR,2030,0.0,Option value futures markets
DSR,2030,63.6,Intrinsic market value
DSR,2033,0.0,Other revenues
DSR,2033,0.0,Ancillary services
DSR,2033,0.0,Option value shaping
DSR,2033,0.0,Option value futures markets
DSR,2033,95.5,Intrinsic market value
DSR,2035,0.0,Other revenues
DSR,2035,0.0,Ancillary services
DSR,2035,0.0,Option value shaping
DSR,2035,0.0,Option value futures markets
DSR,2035,193.7,Intrinsic market value
Gas CCGT 44,2028,4.2,Other revenues
Gas CCGT 44,2028,0.5,Ancillary services
Gas CCGT 44,2028,0.5,Option value shaping
Gas CCGT 44,2028,2.4,Option value futures markets
Gas CCGT 44,2028,28.9,Intrinsic market value
Gas CCGT 44,2030,5.4,Other revenues
Gas CCGT 44,2030,0.7,Ancillary services
Gas CCGT 44,2030,0.7,Option value shaping
Gas CCGT 44,2030,2.1,Option value futures markets
Gas CCGT 44,2030,106.2,Intrinsic market value
