Weather Scenario,Year,EVA category 1,Average of Value
WS01,2028,Gas CCGT 44,985.8
WS02,2028,Gas CCGT 44,930.7
WS03,2028,Gas CCGT 44,952.9
WS04,2028,Gas CCGT 44,1001.1
WS05,2028,Gas CCGT 44,1157.1
WS06,2028,Gas CCGT 44,1012.0
WS07,2028,Gas CCGT 44,1013.4
WS08,2028,Gas CCGT 44,852.3
WS09,2028,Gas CCGT 44,905.5
WS10,2028,Gas CCGT 44,951.7
WS11,2028,Gas CCGT 44,997.0
WS12,2028,Gas CCGT 44,931.8
WS13,2028,Gas CCGT 44,1082.8
WS14,2028,Gas CCGT 44,900.0
WS15,2028,Gas CCGT 44,1074.1
WS16,2028,Gas CCGT 44,853.2
WS17,2028,Gas CCGT 44,1019.2
WS18,2028,Gas CCGT 44,1033.3
WS19,2028,Gas CCGT 44,1127.0
WS20,2028,Gas CCGT 44,856.1
WS21,2028,Gas CCGT 44,946.8
WS22,2028,Gas CCGT 44,884.4
WS23,2028,Gas CCGT 44,1051.7
WS24,2028,Gas CCGT 44,893.8
WS25,2028,Gas CCGT 44,1200.7
WS26,2028,Gas CCGT 44,976.7
WS27,2028,Gas CCGT 44,963.6
WS28,2028,Gas CCGT 44,1122.6
WS29,2028,Gas CCGT 44,932.2
WS30,2028,Gas CCGT 44,918.8
WS31,2028,Gas CCGT 44,970.2
WS32,2028,Gas CCGT 44,1258.4
WS33,2028,Gas CCGT 44,964.0
WS34,2028,Gas CCGT 44,894.8
WS35,2028,Gas CCGT 44,938.2
WS36,2028,Gas CCGT 44,941.5
WS01,2030,Gas CCGT 44,1035.6
WS02,2030,Gas CCGT 44,972.3
WS03,2030,Gas CCGT 44,952.7
WS04,2030,Gas CCGT 44,1063.4
WS05,2030,Gas CCGT 44,1170.3
WS06,2030,Gas CCGT 44,1054.7
WS07,2030,Gas CCGT 44,1043.2
WS08,2030,Gas CCGT 44,863.5
WS09,2030,Gas CCGT 44,937.6
WS10,2030,Gas CCGT 44,969.7
WS11,2030,Gas CCGT 44,1031.2
WS12,2030,Gas CCGT 44,941.5
WS13,2030,Gas CCGT 44,1129.6
WS14,2030,Gas CCGT 44,969.1
WS15,2030,Gas CCGT 44,1123.7
WS16,2030,Gas CCGT 44,911.0
WS17,2030,Gas CCGT 44,1099.0
WS18,2030,Gas CCGT 44,1044.3
WS19,2030,Gas CCGT 44,1176.2
WS20,2030,Gas CCGT 44,901.3
WS21,2030,Gas CCGT 44,1002.2
WS22,2030,Gas CCGT 44,953.7
WS23,2030,Gas CCGT 44,1123.1
WS24,2030,Gas CCGT 44,907.9
WS25,2030,Gas CCGT 44,1210.7
WS26,2030,Gas CCGT 44,1016.1
WS27,2030,Gas CCGT 44,998.3
WS28,2030,Gas CCGT 44,1110.2
WS29,2030,Gas CCGT 44,983.7
WS30,2030,Gas CCGT 44,948.6
WS31,2030,Gas CCGT 44,1015.8
WS32,2030,Gas CCGT 44,1290.1
WS33,2030,Gas CCGT 44,982.0
WS34,2030,Gas CCGT 44,893.3
WS35,2030,Gas CCGT 44,933.5
WS36,2030,Gas CCGT 44,979.4
WS01,2033,Gas CCGT 44,1162.4
WS02,2033,Gas CCGT 44,1161.2
WS03,2033,Gas CCGT 44,1091.8
WS04,2033,Gas CCGT 44,1206.8
WS05,2033,Gas CCGT 44,1315.0
WS06,2033,Gas CCGT 44,1235.3
WS07,2033,Gas CCGT 44,1207.0
WS08,2033,Gas CCGT 44,978.5
WS09,2033,Gas CCGT 44,1116.9
WS10,2033,Gas CCGT 44,1105.0
WS11,2033,Gas CCGT 44,1171.2
WS12,2033,Gas CCGT 44,1075.9
WS13,2033,Gas CCGT 44,1301.6
WS14,2033,Gas CCGT 44,1123.7
WS15,2033,Gas CCGT 44,1254.9
WS16,2033,Gas CCGT 44,1086.4
WS17,2033,Gas CCGT 44,1291.4
WS18,2033,Gas CCGT 44,1181.0
WS19,2033,Gas CCGT 44,1339.6
WS20,2033,Gas CCGT 44,1018.0
WS21,2033,Gas CCGT 44,1162.6
WS22,2033,Gas CCGT 44,1127.3
WS23,2033,Gas CCGT 44,1315.4
WS24,2033,Gas CCGT 44,1050.4
WS25,2033,Gas CCGT 44,1372.4
WS26,2033,Gas CCGT 44,1124.1
WS27,2033,Gas CCGT 44,1128.4
WS28,2033,Gas CCGT 44,1215.7
WS29,2033,Gas CCGT 44,1113.7
WS30,2033,Gas CCGT 44,1094.5
WS31,2033,Gas CCGT 44,1224.9
WS32,2033,Gas CCGT 44,1434.7
WS33,2033,Gas CCGT 44,1124.4
WS34,2033,Gas CCGT 44,1024.3
WS35,2033,Gas CCGT 44,1062.4
WS36,2033,Gas CCGT 44,1127.4
WS01,2035,Gas CCGT 44,1118.9
WS02,2035,Gas CCGT 44,1123.9
WS03,2035,Gas CCGT 44,1057.0
WS04,2035,Gas CCGT 44,1148.8
WS05,2035,Gas CCGT 44,1320.4
WS06,2035,Gas CCGT 44,1216.0
WS07,2035,Gas CCGT 44,1202.1
WS08,2035,Gas CCGT 44,956.5
WS09,2035,Gas CCGT 44,1079.2
WS10,2035,Gas CCGT 44,1079.3
WS11,2035,Gas CCGT 44,1124.9
WS12,2035,Gas CCGT 44,1052.7
WS13,2035,Gas CCGT 44,1294.4
WS14,2035,Gas CCGT 44,1124.1
WS15,2035,Gas CCGT 44,1196.0
WS16,2035,Gas CCGT 44,1065.9
WS17,2035,Gas CCGT 44,1294.4
WS18,2035,Gas CCGT 44,1124.1
WS19,2035,Gas CCGT 44,1279.9
WS20,2035,Gas CCGT 44,997.1
WS21,2035,Gas CCGT 44,1154.8
WS22,2035,Gas CCGT 44,1131.7
WS23,2035,Gas CCGT 44,1284.2
WS24,2035,Gas CCGT 44,1007.8
WS25,2035,Gas CCGT 44,1363.3
WS26,2035,Gas CCGT 44,1115.3
WS27,2035,Gas CCGT 44,1123.3
WS28,2035,Gas CCGT 44,1186.7
WS29,2035,Gas CCGT 44,1083.4
WS30,2035,Gas CCGT 44,1038.0
WS31,2035,Gas CCGT 44,1161.8
WS32,2035,Gas CCGT 44,1415.3
WS33,2035,Gas CCGT 44,1097.6
WS34,2035,Gas CCGT 44,995.0
WS35,2035,Gas CCGT 44,1018.5
WS36,2035,Gas CCGT 44,1107.7
WS01,2028,Gas CCGT 52,1445.9
WS02,2028,Gas CCGT 52,1313.0
WS03,2028,Gas CCGT 52,1085.2
WS04,2028,Gas CCGT 52,1553.0
WS05,2028,Gas CCGT 52,1956.8
WS06,2028,Gas CCGT 52,1389.7
