Weather Scenario,Year,EVA category 1,Average of Value
WS01,2028,Gas CCGT 44,939.3
WS02,2028,Gas CCGT 44,889.9
WS03,2028,Gas CCGT 44,912.4
WS04,2028,Gas CCGT 44,931.9
WS05,2028,Gas CCGT 44,1083.2
WS06,2028,Gas CCGT 44,949.6
WS07,2028,Gas CCGT 44,947.3
WS08,2028,Gas CCGT 44,818.6
WS09,2028,Gas CCGT 44,863.9
WS10,2028,Gas CCGT 44,907.4
WS11,2028,Gas CCGT 44,948.6
WS12,2028,Gas CCGT 44,888.4
WS13,2028,Gas CCGT 44,1013.4
WS14,2028,Gas CCGT 44,858.1
WS15,2028,Gas CCGT 44,1007.8
WS16,2028,Gas CCGT 44,819.7
WS17,2028,Gas CCGT 44,955.9
WS18,2028,Gas CCGT 44,978.6
WS19,2028,Gas CCGT 44,1060.2
WS20,2028,Gas CCGT 44,814.6
WS21,2028,Gas CCGT 44,900.1
WS22,2028,Gas CCGT 44,841.6
WS23,2028,Gas CCGT 44,998.8
WS24,2028,Gas CCGT 44,853.8
WS25,2028,Gas CCGT 44,1132.5
WS26,2028,Gas CCGT 44,915.4
WS27,2028,Gas CCGT 44,916.4
WS28,2028,Gas CCGT 44,1051.8
WS29,2028,Gas CCGT 44,888.5
WS30,2028,Gas CCGT 44,881.4
WS31,2028,Gas CCGT 44,929.6
WS32,2028,Gas CCGT 44,1190.6
WS33,2028,Gas CCGT 44,925.3
WS34,2028,Gas CCGT 44,851.4
WS35,2028,Gas CCGT 44,890.8
WS36,2028,Gas CCGT 44,893.7
WS01,2030,Gas CCGT 44,1003.4
WS02,2030,Gas CCGT 44,938.8
WS03,2030,Gas CCGT 44,927.5
WS04,2030,Gas CCGT 44,1020.3
WS05,2030,Gas CCGT 44,1134.0
WS06,2030,Gas CCGT 44,1012.6
WS07,2030,Gas CCGT 44,1006.8
WS08,2030,Gas CCGT 44,842.1
WS09,2030,Gas CCGT 44,910.1
WS10,2030,Gas CCGT 44,938.4
WS11,2030,Gas CCGT 44,1002.5
WS12,2030,Gas CCGT 44,912.5
WS13,2030,Gas CCGT 44,1080.5
WS14,2030,Gas CCGT 44,933.6
WS15,2030,Gas CCGT 44,1079.6
WS16,2030,Gas CCGT 44,885.1
WS17,2030,Gas CCGT 44,1055.7
WS18,2030,Gas CCGT 44,1007.4
WS19,2030,Gas CCGT 44,1134.5
WS20,2030,Gas CCGT 44,871.9
WS21,2030,Gas CCGT 44,968.5
WS22,2030,Gas CCGT 44,924.1
WS23,2030,Gas CCGT 44,1080.3
WS24,2030,Gas CCGT 44,883.5
WS25,2030,Gas CCGT 44,1168.2
WS26,2030,Gas CCGT 44,981.3
WS27,2030,Gas CCGT 44,971.3
WS28,2030,Gas CCGT 44,1068.8
WS29,2030,Gas CCGT 44,940.4
WS30,2030,Gas CCGT 44,921.3
WS31,2030,Gas CCGT 44,983.0
WS32,2030,Gas CCGT 44,1255.0
WS33,2030,Gas CCGT 44,958.1
WS34,2030,Gas CCGT 44,870.9
WS35,2030,Gas CCGT 44,904.8
WS36,2030,Gas CCGT 44,951.6
WS01,2033,Gas CCGT 44,1084.0
WS02,2033,Gas CCGT 44,1086.8
WS03,2033,Gas CCGT 44,1039.5
WS04,2033,Gas CCGT 44,1114.9
WS05,2033,Gas CCGT 44,1232.1
WS06,2033,Gas CCGT 44,1148.6
WS07,2033,Gas CCGT 44,1135.3
WS08,2033,Gas CCGT 44,941.9
WS09,2033,Gas CCGT 44,1045.8
WS10,2033,Gas CCGT 44,1049.0
WS11,2033,Gas CCGT 44,1107.4
WS12,2033,Gas CCGT 44,1016.6
WS13,2033,Gas CCGT 44,1231.2
WS14,2033,Gas CCGT 44,1066.1
WS15,2033,Gas CCGT 44,1179.4
WS16,2033,Gas CCGT 44,1015.9
WS17,2033,Gas CCGT 44,1192.6
WS18,2033,Gas CCGT 44,1104.3
WS19,2033,Gas CCGT 44,1237.0
WS20,2033,Gas CCGT 44,966.1
WS21,2033,Gas CCGT 44,1095.4
WS22,2033,Gas CCGT 44,1050.0
WS23,2033,Gas CCGT 44,1224.3
WS24,2033,Gas CCGT 44,1006.7
WS25,2033,Gas CCGT 44,1270.2
WS26,2033,Gas CCGT 44,1057.8
WS27,2033,Gas CCGT 44,1078.2
WS28,2033,Gas CCGT 44,1121.0
WS29,2033,Gas CCGT 44,1043.4
WS30,2033,Gas CCGT 44,1028.2
WS31,2033,Gas CCGT 44,1151.4
WS32,2033,Gas CCGT 44,1363.4
WS33,2033,Gas CCGT 44,1070.6
WS34,2033,Gas CCGT 44,981.8
WS35,2033,Gas CCGT 44,1003.8
WS36,2033,Gas CCGT 44,1063.0
WS01,2035,Gas CCGT 44,1075.9
WS02,2035,Gas CCGT 44,1076.0
WS03,2035,Gas CCGT 44,1028.0
WS04,2035,Gas CCGT 44,1096.5
WS05,2035,Gas CCGT 44,1248.8
WS06,2035,Gas CCGT 44,1158.9
WS07,2035,Gas CCGT 44,1158.3
WS08,2035,Gas CCGT 44,937.3
WS09,2035,Gas CCGT 44,1035.2
WS10,2035,Gas CCGT 44,1041.3
WS11,2035,Gas CCGT 44,1079.4
WS12,2035,Gas CCGT 44,1009.3
WS13,2035,Gas CCGT 44,1232.6
WS14,2035,Gas CCGT 44,1066.1
WS15,2035,Gas CCGT 44,1137.9
WS16,2035,Gas CCGT 44,1000.4
WS17,2035,Gas CCGT 44,1192.1
WS18,2035,Gas CCGT 44,1083.9
WS19,2035,Gas CCGT 44,1219.3
WS20,2035,Gas CCGT 44,963.2
WS21,2035,Gas CCGT 44,1117.2
WS22,2035,Gas CCGT 44,1068.4
WS23,2035,Gas CCGT 44,1214.8
WS24,2035,Gas CCGT 44,977.8
WS25,2035,Gas CCGT 44,1280.1
WS26,2035,Gas CCGT 44,1070.1
WS27,2035,Gas CCGT 44,1084.3
WS28,2035,Gas CCGT 44,1115.8
WS29,2035,Gas CCGT 44,1028.7
WS30,2035,Gas CCGT 44,1010.0
WS31,2035,Gas CCGT 44,1116.8
WS32,2035,Gas CCGT 44,1368.0
WS33,2035,Gas CCGT 44,1063.0
WS34,2035,Gas CCGT 44,975.3
WS35,2035,Gas CCGT 44,987.0
WS36,2035,Gas CCGT 44,1070.2
WS01,2028,Gas CCGT 52,1256.6
