Iteration,WeatherScenario,Sum of ENS-GW-ifshortage
Sample 1,WS01,0.2
Sample 10,WS01,0
Sample 2,WS01,0
Sample 3,WS01,0
Sample 4,WS01,0
Sample 5,WS01,0
Sample 6,WS01,0
Sample 7,WS01,0
Sample 8,WS01,0
Sample 9,WS01,0
Sample 1,WS02,0
Sample 10,WS02,0
Sample 2,WS02,0
Sample 3,WS02,0
Sample 4,WS02,0
Sample 5,WS02,0
Sample 6,WS02,0
Sample 7,WS02,0
Sample 8,WS02,0
Sample 9,WS02,0
Sample 1,WS03,19.4
Sample 10,WS03,19.4
Sample 2,WS03,20.4
Sample 3,WS03,12.5
Sample 4,WS03,10.299999999999999
Sample 5,WS03,8.599999999999998
Sample 6,WS03,11.6
Sample 7,WS03,11.4
Sample 8,WS03,13.500000000000002
Sample 9,WS03,13.999999999999998
Sample 1,WS04,0
Sample 10,WS04,0
Sample 2,WS04,0
Sample 3,WS04,0
Sample 4,WS04,0
Sample 5,WS04,0
Sample 6,WS04,0
Sample 7,WS04,0
Sample 8,WS04,0
Sample 9,WS04,0
Sample 1,WS05,19.700000000000006
Sample 10,WS05,19.200000000000006
Sample 2,WS05,29.300000000000004
Sample 3,WS05,21.600000000000005
Sample 4,WS05,31.2
Sample 5,WS05,19.3
Sample 6,WS05,27.199999999999996
Sample 7,WS05,25.9
Sample 8,WS05,30.000000000000004
Sample 9,WS05,23.3
Sample 1,WS06,0.4
Sample 10,WS06,4.1
Sample 2,WS06,2.2
Sample 3,WS06,0.6
Sample 4,WS06,0.8
Sample 5,WS06,0.6
Sample 6,WS06,0.4
Sample 7,WS06,3.1
Sample 8,WS06,7.1000000000000005
Sample 9,WS06,0.2
Sample 1,WS07,0
Sample 10,WS07,0.1
Sample 2,WS07,0.1
Sample 3,WS07,0
Sample 4,WS07,0.1
Sample 5,WS07,0
Sample 6,WS07,0.1
Sample 7,WS07,0.1
Sample 8,WS07,0
Sample 9,WS07,0
Sample 1,WS08,0
Sample 10,WS08,0
Sample 2,WS08,0
Sample 3,WS08,0
Sample 4,WS08,0
Sample 5,WS08,0
Sample 6,WS08,0
Sample 7,WS08,0
Sample 8,WS08,0
Sample 9,WS08,0
Sample 1,WS09,0
Sample 10,WS09,0
Sample 2,WS09,0
Sample 3,WS09,0
Sample 4,WS09,0
Sample 5,WS09,0
Sample 6,WS09,0
Sample 7,WS09,0
Sample 8,WS09,0
Sample 9,WS09,0
Sample 1,WS10,0
Sample 10,WS10,0
Sample 2,WS10,0
Sample 3,WS10,0
Sample 4,WS10,0
Sample 5,WS10,0
Sample 6,WS10,0
Sample 7,WS10,0
Sample 8,WS10,0
Sample 9,WS10,0
Sample 1,WS11,4.3999999999999995
