Iteration,WeatherScenario,Sum of ENS-GW-ifshortage
Sample 1,WS01,0.9000000000000001
Sample 10,WS01,2.1999999999999997
Sample 2,WS01,0.2
Sample 3,WS01,0
Sample 4,WS01,5.4
Sample 5,WS01,0.6
Sample 6,WS01,2.4000000000000004
Sample 7,WS01,0
Sample 8,WS01,3.3999999999999995
Sample 9,WS01,0.7999999999999999
Sample 1,WS02,0
Sample 10,WS02,0
Sample 2,WS02,0
Sample 3,WS02,0
Sample 4,WS02,0
Sample 5,WS02,0
Sample 6,WS02,0
Sample 7,WS02,0
Sample 8,WS02,0
Sample 9,WS02,0
Sample 1,WS03,6.800000000000001
Sample 10,WS03,7.2
Sample 2,WS03,7.8
Sample 3,WS03,8.2
Sample 4,WS03,4.8
Sample 5,WS03,7.499999999999999
Sample 6,WS03,6
Sample 7,WS03,5.3
Sample 8,WS03,8.200000000000001
Sample 9,WS03,8.2
Sample 1,WS04,0
Sample 10,WS04,0
Sample 2,WS04,0
Sample 3,WS04,0
Sample 4,WS04,0
Sample 5,WS04,0
Sample 6,WS04,0
Sample 7,WS04,0
Sample 8,WS04,0
Sample 9,WS04,0
Sample 1,WS05,19.499999999999996
Sample 10,WS05,35.599999999999994
Sample 2,WS05,22.500000000000004
Sample 3,WS05,24.499999999999996
Sample 4,WS05,20.5
Sample 5,WS05,19.299999999999997
Sample 6,WS05,23.1
Sample 7,WS05,24.9
Sample 8,WS05,27.8
Sample 9,WS05,30.099999999999998
Sample 1,WS06,10.799999999999999
Sample 10,WS06,18.700000000000003
Sample 2,WS06,11.100000000000001
Sample 3,WS06,13.4
Sample 4,WS06,18.9
Sample 5,WS06,13.700000000000001
Sample 6,WS06,13.299999999999997
Sample 7,WS06,13.8
Sample 8,WS06,14.399999999999995
Sample 9,WS06,14.499999999999998
Sample 1,WS07,0.9
Sample 10,WS07,4.800000000000001
Sample 2,WS07,0
Sample 3,WS07,0.7999999999999999
Sample 4,WS07,0
Sample 5,WS07,0.6000000000000001
Sample 6,WS07,0
Sample 7,WS07,0
Sample 8,WS07,0
Sample 9,WS07,0.5
Sample 1,WS08,0
Sample 10,WS08,0
Sample 2,WS08,0
Sample 3,WS08,0
Sample 4,WS08,0
Sample 5,WS08,0
Sample 6,WS08,0
Sample 7,WS08,0
Sample 8,WS08,0
Sample 9,WS08,0
Sample 1,WS09,0
Sample 10,WS09,0
Sample 2,WS09,0
Sample 3,WS09,0
Sample 4,WS09,0
Sample 5,WS09,0
Sample 6,WS09,0
Sample 7,WS09,0
Sample 8,WS09,0
Sample 9,WS09,0
Sample 1,WS10,0
Sample 10,WS10,0
Sample 2,WS10,0
Sample 3,WS10,0
Sample 4,WS10,0
Sample 5,WS10,0
Sample 6,WS10,0
Sample 7,WS10,0
Sample 8,WS10,0
Sample 9,WS10,0
