WeatherScenario,Iteration,Sum of ENShours
WS01,Sample 1,41
WS01,Sample 10,44
WS01,Sample 2,41
WS01,Sample 3,44
WS01,Sample 4,45
WS01,Sample 5,44
WS01,Sample 6,45
WS01,Sample 7,43
WS01,Sample 8,46
WS01,Sample 9,44
WS02,Sample 1,28
WS02,Sample 10,6
WS02,Sample 2,25
WS02,Sample 3,30
WS02,Sample 4,29
WS02,Sample 5,0
WS02,Sample 6,24
WS02,Sample 7,26
WS02,Sample 8,26
WS02,Sample 9,13
WS03,Sample 1,31
WS03,Sample 10,27
WS03,Sample 2,30
WS03,Sample 3,27
WS03,Sample 4,28
WS03,Sample 5,43
WS03,Sample 6,24
WS03,Sample 7,28
WS03,Sample 8,31
WS03,Sample 9,36
WS04,Sample 1,8
WS04,Sample 10,0
WS04,Sample 2,0
WS04,Sample 3,0
WS04,Sample 4,0
WS04,Sample 5,11
WS04,Sample 6,0
WS04,Sample 7,12
WS04,Sample 8,0
WS04,Sample 9,0
WS05,Sample 1,62
WS05,Sample 10,55
WS05,Sample 2,53
WS05,Sample 3,66
WS05,Sample 4,55
WS05,Sample 5,73
WS05,Sample 6,63
WS05,Sample 7,56
WS05,Sample 8,62
WS05,Sample 9,60
WS06,Sample 1,87
WS06,Sample 10,82
WS06,Sample 2,83
WS06,Sample 3,78
WS06,Sample 4,86
WS06,Sample 5,75
WS06,Sample 6,88
WS06,Sample 7,75
WS06,Sample 8,83
WS06,Sample 9,83
WS07,Sample 1,49
WS07,Sample 10,51
WS07,Sample 2,45
WS07,Sample 3,52
WS07,Sample 4,42
WS07,Sample 5,49
WS07,Sample 6,44
WS07,Sample 7,46
WS07,Sample 8,42
WS07,Sample 9,42
WS08,Sample 1,0
WS08,Sample 10,0
WS08,Sample 2,0
WS08,Sample 3,0
WS08,Sample 4,1
WS08,Sample 5,3
WS08,Sample 6,0
WS08,Sample 7,1
WS08,Sample 8,3
WS08,Sample 9,5
WS09,Sample 1,11
WS09,Sample 10,13
WS09,Sample 2,10
WS09,Sample 3,12
WS09,Sample 4,11
WS09,Sample 5,12
WS09,Sample 6,15
WS09,Sample 7,12
WS09,Sample 8,17
WS09,Sample 9,13
WS10,Sample 1,4
WS10,Sample 10,8
WS10,Sample 2,2
WS10,Sample 3,7
WS10,Sample 4,2
WS10,Sample 5,0
WS10,Sample 6,0
WS10,Sample 7,10
WS10,Sample 8,11
WS10,Sample 9,0
WS11,Sample 1,31
WS11,Sample 10,47
WS11,Sample 2,45
WS11,Sample 3,23
WS11,Sample 4,43
WS11,Sample 5,31
WS11,Sample 6,30
WS11,Sample 7,45
WS11,Sample 8,35
WS11,Sample 9,24
WS12,Sample 1,17
WS12,Sample 10,18
WS12,Sample 2,16
WS12,Sample 3,18
WS12,Sample 4,21
WS12,Sample 5,16
WS12,Sample 6,16
WS12,Sample 7,15
WS12,Sample 8,22
WS12,Sample 9,18
WS13,Sample 1,167
WS13,Sample 10,169
WS13,Sample 2,180
WS13,Sample 3,169
WS13,Sample 4,167
WS13,Sample 5,166
WS13,Sample 6,169
WS13,Sample 7,174
WS13,Sample 8,169
WS13,Sample 9,172
WS14,Sample 1,23
WS14,Sample 10,31
WS14,Sample 2,21
WS14,Sample 3,25
WS14,Sample 4,25
WS14,Sample 5,17
WS14,Sample 6,16
WS14,Sample 7,34
WS14,Sample 8,27
WS14,Sample 9,25
WS15,Sample 1,64
WS15,Sample 10,54
WS15,Sample 2,69
WS15,Sample 3,55
WS15,Sample 4,55
WS15,Sample 5,55
WS15,Sample 6,55
WS15,Sample 7,55
WS15,Sample 8,55
WS15,Sample 9,54
WS16,Sample 1,3
WS16,Sample 10,16
WS16,Sample 2,11
WS16,Sample 3,2
WS16,Sample 4,0
WS16,Sample 5,1
WS16,Sample 6,9
WS16,Sample 7,0
WS16,Sample 8,9
WS16,Sample 9,3
WS17,Sample 1,15
WS17,Sample 10,24
WS17,Sample 2,12
WS17,Sample 3,17
WS17,Sample 4,13
WS17,Sample 5,14
WS17,Sample 6,15
WS17,Sample 7,16
WS17,Sample 8,16
WS17,Sample 9,14
WS18,Sample 1,53
WS18,Sample 10,55
