WeatherScenario,Iteration,Sum of ENShours
WS01,Sample 1,30
WS01,Sample 10,26
WS01,Sample 2,26
WS01,Sample 3,33
WS01,Sample 4,31
WS01,Sample 5,35
WS01,Sample 6,30
WS01,Sample 7,34
WS01,Sample 8,40
WS01,Sample 9,32
WS02,Sample 1,8
WS02,Sample 10,0
WS02,Sample 2,9
WS02,Sample 3,17
WS02,Sample 4,11
WS02,Sample 5,0
WS02,Sample 6,16
WS02,Sample 7,3
WS02,Sample 8,8
WS02,Sample 9,0
WS03,Sample 1,22
WS03,Sample 10,17
WS03,Sample 2,14
WS03,Sample 3,18
WS03,Sample 4,12
WS03,Sample 5,32
WS03,Sample 6,12
WS03,Sample 7,16
WS03,Sample 8,22
WS03,Sample 9,23
WS04,Sample 1,0
WS04,Sample 10,0
WS04,Sample 2,0
WS04,Sample 3,0
WS04,Sample 4,0
WS04,Sample 5,0
WS04,Sample 6,0
WS04,Sample 7,4
WS04,Sample 8,0
WS04,Sample 9,0
WS05,Sample 1,42
WS05,Sample 10,41
WS05,Sample 2,40
WS05,Sample 3,53
WS05,Sample 4,46
WS05,Sample 5,58
WS05,Sample 6,46
WS05,Sample 7,44
WS05,Sample 8,46
WS05,Sample 9,44
WS06,Sample 1,71
WS06,Sample 10,68
WS06,Sample 2,74
WS06,Sample 3,71
WS06,Sample 4,72
WS06,Sample 5,67
WS06,Sample 6,70
WS06,Sample 7,62
WS06,Sample 8,70
WS06,Sample 9,72
WS07,Sample 1,42
WS07,Sample 10,45
WS07,Sample 2,37
WS07,Sample 3,41
WS07,Sample 4,29
WS07,Sample 5,43
WS07,Sample 6,32
WS07,Sample 7,33
WS07,Sample 8,34
WS07,Sample 9,32
WS08,Sample 1,0
WS08,Sample 10,0
WS08,Sample 2,0
WS08,Sample 3,0
WS08,Sample 4,0
WS08,Sample 5,0
WS08,Sample 6,0
WS08,Sample 7,0
WS08,Sample 8,0
WS08,Sample 9,0
WS09,Sample 1,4
WS09,Sample 10,7
WS09,Sample 2,4
WS09,Sample 3,2
WS09,Sample 4,6
WS09,Sample 5,8
WS09,Sample 6,9
WS09,Sample 7,4
WS09,Sample 8,15
WS09,Sample 9,4
WS10,Sample 1,0
WS10,Sample 10,0
WS10,Sample 2,0
WS10,Sample 3,0
WS10,Sample 4,0
WS10,Sample 5,0
WS10,Sample 6,0
WS10,Sample 7,2
WS10,Sample 8,2
WS10,Sample 9,0
WS11,Sample 1,23
WS11,Sample 10,29
WS11,Sample 2,27
WS11,Sample 3,5
WS11,Sample 4,31
WS11,Sample 5,25
WS11,Sample 6,28
WS11,Sample 7,31
WS11,Sample 8,13
WS11,Sample 9,20
WS12,Sample 1,14
WS12,Sample 10,16
WS12,Sample 2,15
WS12,Sample 3,14
WS12,Sample 4,15
WS12,Sample 5,12
WS12,Sample 6,14
WS12,Sample 7,14
WS12,Sample 8,18
WS12,Sample 9,14
WS13,Sample 1,147
WS13,Sample 10,158
WS13,Sample 2,160
WS13,Sample 3,160
WS13,Sample 4,151
WS13,Sample 5,151
WS13,Sample 6,161
WS13,Sample 7,165
WS13,Sample 8,155
WS13,Sample 9,154
WS14,Sample 1,11
WS14,Sample 10,16
WS14,Sample 2,13
WS14,Sample 3,10
WS14,Sample 4,18
WS14,Sample 5,10
WS14,Sample 6,9
WS14,Sample 7,22
WS14,Sample 8,11
WS14,Sample 9,13
WS15,Sample 1,55
WS15,Sample 10,55
WS15,Sample 2,53
WS15,Sample 3,50
WS15,Sample 4,54
WS15,Sample 5,52
WS15,Sample 6,51
WS15,Sample 7,54
WS15,Sample 8,54
WS15,Sample 9,51
WS16,Sample 1,0
WS16,Sample 10,4
WS16,Sample 2,1
WS16,Sample 3,0
WS16,Sample 4,0
WS16,Sample 5,0
WS16,Sample 6,1
WS16,Sample 7,0
WS16,Sample 8,0
WS16,Sample 9,0
WS17,Sample 1,12
WS17,Sample 10,10
WS17,Sample 2,10
WS17,Sample 3,16
WS17,Sample 4,13
WS17,Sample 5,11
WS17,Sample 6,13
WS17,Sample 7,14
WS17,Sample 8,14
WS17,Sample 9,12
WS18,Sample 1,45
WS18,Sample 10,44
WS18,Sample 2,44
WS18,Sample 3,49
WS18,Sample 4,43
WS18,Sample 5,47
WS18,Sample 6,46
WS18,Sample 7,46
WS18,Sample 8,44
WS18,Sample 9,44
WS19,Sample 1,102
WS19,Sample 10,127
WS19,Sample 2,108
WS19,Sample 3,99
WS19,Sample 4,110
WS19,Sample 5,103
WS19,Sample 6,104
WS19,Sample 7,104
WS19,Sample 8,101
WS19,Sample 9,103
WS20,Sample 1,0
WS20,Sample 10,0
WS20,Sample 2,0
WS20,Sample 3,0
WS20,Sample 4,0
WS20,Sample 5,0
WS20,Sample 6,0
WS20,Sample 7,0
WS20,Sample 8,0
WS20,Sample 9,0
WS21,Sample 1,41
WS21,Sample 10,57
WS21,Sample 2,54
WS21,Sample 3,48
WS21,Sample 4,38
WS21,Sample 5,55
WS21,Sample 6,55
WS21,Sample 7,56
WS21,Sample 8,51
WS21,Sample 9,54
WS22,Sample 1,2
WS22,Sample 10,0
WS22,Sample 2,0
WS22,Sample 3,0
WS22,Sample 4,4
WS22,Sample 5,0
WS22,Sample 6,0
WS22,Sample 7,0
WS22,Sample 8,0
WS22,Sample 9,0
WS23,Sample 1,65
WS23,Sample 10,50
WS23,Sample 2,60
WS23,Sample 3,64
WS23,Sample 4,59
WS23,Sample 5,58
WS23,Sample 6,61
WS23,Sample 7,67
WS23,Sample 8,63
WS23,Sample 9,59
WS24,Sample 1,0
WS24,Sample 10,0
WS24,Sample 2,0
WS24,Sample 3,0
WS24,Sample 4,0
WS24,Sample 5,0
WS24,Sample 6,0
WS24,Sample 7,0
WS24,Sample 8,0
WS24,Sample 9,0
WS25,Sample 1,147
WS25,Sample 10,145
WS25,Sample 2,167
WS25,Sample 3,156
WS25,Sample 4,173
WS25,Sample 5,127
WS25,Sample 6,158
WS25,Sample 7,127
WS25,Sample 8,139
WS25,Sample 9,169
WS26,Sample 1,20
WS26,Sample 10,27
WS26,Sample 2,22
WS26,Sample 3,19
WS26,Sample 4,24
WS26,Sample 5,27
WS26,Sample 6,14
WS26,Sample 7,20
WS26,Sample 8,20
WS26,Sample 9,23
WS27,Sample 1,0
WS27,Sample 10,0
WS27,Sample 2,7
WS27,Sample 3,0
WS27,Sample 4,0
WS27,Sample 5,9
WS27,Sample 6,0
WS27,Sample 7,0
WS27,Sample 8,0
WS27,Sample 9,0
WS28,Sample 1,0
WS28,Sample 10,0
WS28,Sample 2,0
WS28,Sample 3,0
WS28,Sample 4,0
WS28,Sample 5,0
WS28,Sample 6,0
WS28,Sample 7,0
WS28,Sample 8,0
WS28,Sample 9,0
WS29,Sample 1,0
WS29,Sample 10,0
WS29,Sample 2,0
WS29,Sample 3,0
WS29,Sample 4,0
WS29,Sample 5,0
WS29,Sample 6,0
WS29,Sample 7,0
WS29,Sample 8,0
WS29,Sample 9,0
WS30,Sample 1,0
WS30,Sample 10,0
WS30,Sample 2,0
WS30,Sample 3,0
WS30,Sample 4,0
WS30,Sample 5,0
WS30,Sample 6,0
WS30,Sample 7,0
WS30,Sample 8,0
WS30,Sample 9,0
WS31,Sample 1,0
WS31,Sample 10,0
WS31,Sample 2,0
WS31,Sample 3,0
WS31,Sample 4,0
WS31,Sample 5,0
WS31,Sample 6,0
WS31,Sample 7,0
WS31,Sample 8,0
WS31,Sample 9,0
WS32,Sample 1,263
WS32,Sample 10,256
WS32,Sample 2,252
WS32,Sample 3,255
WS32,Sample 4,246
WS32,Sample 5,248
WS32,Sample 6,268
WS32,Sample 7,251
WS32,Sample 8,254
WS32,Sample 9,264
WS33,Sample 1,65
WS33,Sample 10,63
WS33,Sample 2,65
WS33,Sample 3,63
WS33,Sample 4,65
WS33,Sample 5,62
WS33,Sample 6,67
WS33,Sample 7,71
WS33,Sample 8,63
WS33,Sample 9,73
WS34,Sample 1,18
WS34,Sample 10,22
WS34,Sample 2,20
WS34,Sample 3,22
WS34,Sample 4,18
WS34,Sample 5,19
WS34,Sample 6,20
WS34,Sample 7,18
WS34,Sample 8,17
WS34,Sample 9,24
WS35,Sample 1,14
WS35,Sample 10,14
WS35,Sample 2,14
WS35,Sample 3,14
WS35,Sample 4,14
WS35,Sample 5,14
WS35,Sample 6,15
WS35,Sample 7,14
WS35,Sample 8,18
WS35,Sample 9,14
WS36,Sample 1,62
WS36,Sample 10,52
WS36,Sample 2,72
WS36,Sample 3,54
WS36,Sample 4,54
WS36,Sample 5,63
WS36,Sample 6,59
WS36,Sample 7,67
WS36,Sample 8,54
WS36,Sample 9,65
