Event size [GWh],event_duration,Count of event_size
0 - 2,1,361
0 - 2,2,130
0 - 2,3,59
0 - 2,4,50
0 - 2,5,33
0 - 2,6,10
0 - 2,7,5
0 - 2,8,4
0 - 2,9,2
0 - 2,13,1
0 - 2,14,1
2 - 4,1,3
2 - 4,2,10
2 - 4,3,14
2 - 4,4,19
2 - 4,5,16
2 - 4,6,12
2 - 4,7,5
2 - 4,8,9
2 - 4,9,2
2 - 4,11,3
2 - 4,12,1
4 - 6,2,6
4 - 6,3,5
4 - 6,4,15
4 - 6,5,10
4 - 6,6,7
4 - 6,7,4
4 - 6,8,7
4 - 6,9,1
4 - 6,17,1
4 - 6,21,1
6 - 8,4,4
6 - 8,5,1
6 - 8,6,8
6 - 8,7,11
6 - 8,8,4
6 - 8,10,2
6 - 8,11,1
6 - 8,12,1
8 - 10,3,1
8 - 10,4,3
8 - 10,5,2
8 - 10,6,5
8 - 10,7,3
8 - 10,8,3
8 - 10,15,1
10 - 12,4,1
10 - 12,5,3
10 - 12,6,3
10 - 12,7,3
10 - 12,8,2
10 - 12,11,1
10 - 12,13,1
12 - 14,3,1
12 - 14,6,3
12 - 14,7,1
12 - 14,8,1
12 - 14,9,1
12 - 14,13,1
12 - 14,17,1
14 - 16,4,1
14 - 16,6,1
14 - 16,7,2
14 - 16,8,2
14 - 16,14,1
14 - 16,15,1
16 - 18,6,1
16 - 18,7,1
16 - 18,8,3
16 - 18,9,1
16 - 18,14,1
18 - 20,7,1
18 - 20,8,3
18 - 20,9,1
18 - 20,13,1
18 - 20,16,1
20 - 22,8,1
20 - 22,9,2
20 - 22,10,2
20 - 22,13,2
20 - 22,14,1
22 - 24,8,2
22 - 24,10,4
22 - 24,12,1
22 - 24,13,2
22 - 24,15,1
24 - 26,8,5
24 - 26,10,5
26 - 28,8,1
26 - 28,9,1
26 - 28,10,2
26 - 28,13,1
28 - 30,13,1
30 - 32,8,2
34 - 36,10,1
36 - 38,15,1
36 - 38,19,1
38 - 40,19,2
40 - 42,19,1
42 - 44,19,1
44 - 46,18,1
48 - 50,20,1
50 - 52,19,1
52 - 54,19,1
54 - 56,19,1
64 - 66,18,1
66 - 68,19,1
68 - 70,18,1
72 - 74,19,1
72 - 74,20,1
74 - 76,18,1
78 - 80,19,1
78 - 80,30,1
80 - 82,30,3
84 - 86,20,1
84 - 86,30,2
86 - 88,19,1
86 - 88,30,1
88 - 90,30,1
90 - 92,30,1
96 - 98,19,1
108 - 110,30,1
