Event size [GWh],event_duration,Count of event_size
0 - 10,1,280
0 - 10,2,180
0 - 10,3,93
0 - 10,4,108
0 - 10,5,79
0 - 10,6,52
0 - 10,7,29
0 - 10,8,11
0 - 10,9,20
0 - 10,10,11
0 - 10,11,11
0 - 10,12,8
0 - 10,13,2
0 - 10,14,10
0 - 10,15,13
0 - 10,16,11
0 - 10,17,3
0 - 10,18,3
0 - 10,19,2
10 - 20,6,1
10 - 20,7,2
10 - 20,8,7
10 - 20,9,3
10 - 20,10,5
10 - 20,11,7
10 - 20,12,7
10 - 20,13,3
10 - 20,14,8
10 - 20,15,6
10 - 20,16,5
10 - 20,17,11
10 - 20,18,7
10 - 20,19,2
10 - 20,21,4
10 - 20,22,3
10 - 20,24,1
10 - 20,27,1
10 - 20,28,2
20 - 30,6,2
20 - 30,7,5
20 - 30,8,6
20 - 30,9,11
20 - 30,10,2
20 - 30,13,2
20 - 30,14,3
20 - 30,15,1
20 - 30,17,2
20 - 30,18,4
20 - 30,19,6
20 - 30,20,1
20 - 30,21,1
20 - 30,23,1
20 - 30,27,3
20 - 30,28,1
20 - 30,29,1
20 - 30,33,1
20 - 30,34,1
20 - 30,35,1
20 - 30,36,1
20 - 30,39,1
30 - 40,7,1
30 - 40,13,1
30 - 40,15,1
30 - 40,23,1
30 - 40,33,2
30 - 40,34,1
30 - 40,35,1
30 - 40,36,1
30 - 40,37,1
30 - 40,40,1
30 - 40,43,1
30 - 40,44,1
40 - 50,43,1
40 - 50,52,1
40 - 50,55,1
60 - 70,21,1
60 - 70,25,2
70 - 80,21,1
70 - 80,25,4
70 - 80,26,1
70 - 80,28,1
80 - 90,29,1
80 - 90,30,4
90 - 100,25,1
90 - 100,30,1
110 - 120,44,2
130 - 140,44,1
