Event size [GWh],event_duration,Count of event_size
0 - 10,1,36
0 - 10,2,38
0 - 10,3,25
0 - 10,4,23
0 - 10,5,32
0 - 10,6,20
0 - 10,7,20
0 - 10,8,15
0 - 10,9,13
0 - 10,10,2
0 - 10,11,5
0 - 10,12,3
0 - 10,13,1
0 - 10,15,5
0 - 10,16,4
0 - 10,17,3
0 - 10,18,5
10 - 20,10,1
10 - 20,15,3
10 - 20,16,6
10 - 20,17,2
10 - 20,18,5
10 - 20,19,3
10 - 20,21,1
10 - 20,22,1
20 - 30,8,1
20 - 30,9,2
20 - 30,14,1
20 - 30,17,7
20 - 30,25,1
20 - 30,32,1
20 - 30,35,1
30 - 40,8,2
30 - 40,9,5
30 - 40,32,1
40 - 50,32,1
40 - 50,33,2
50 - 60,32,1
50 - 60,33,1
50 - 60,42,1
50 - 60,43,1
50 - 60,49,1
60 - 70,33,2
80 - 90,28,2
90 - 100,28,1
90 - 100,29,1
100 - 110,28,4
100 - 110,29,1
110 - 120,29,1
