Scenario,Object A,Object B,Probability
TY2028,BE00,BE00,1
TY2028,BE00,DE00,0.974785918
TY2028,BE00,DKW1,0.8594196
TY2028,BE00,FR00,0.572549952
TY2028,BE00,NL00,0.382492864
TY2028,BE00,NOS2,0
TY2028,BE00,UK00,0.122026641
TY2028,DE00,BE00,0.957924264
TY2028,DE00,DE00,1
TY2028,DE00,DKW1,0.872837775
TY2028,DE00,FR00,0.544179523
TY2028,DE00,NL00,0.373539037
TY2028,DE00,NOS2,0
TY2028,DE00,UK00,0.115007013
TY2028,DKW1,BE00,0.946802935
TY2028,DKW1,DE00,0.97851153
TY2028,DKW1,DKW1,1
TY2028,DKW1,FR00,0.512840671
TY2028,DKW1,NL00,0.386530398
TY2028,DKW1,NOS2,0
TY2028,DKW1,UK00,0.122641509
TY2028,FR00,BE00,0.963570857
TY2028,FR00,DE00,0.931945556
TY2028,FR00,DKW1,0.783426741
TY2028,FR00,FR00,1
TY2028,FR00,NL00,0.357886309
TY2028,FR00,NOS2,0
TY2028,FR00,UK00,0.193755004
TY2028,NL00,BE00,0.990147783
TY2028,NL00,DE00,0.983990148
TY2028,NL00,DKW1,0.908251232
TY2028,NL00,FR00,0.550492611
TY2028,NL00,NL00,1
TY2028,NL00,NOS2,0
TY2028,NL00,UK00,0.141625616
TY2028,NOS2,BE00,
TY2028,NOS2,DE00,
TY2028,NOS2,DKW1,
TY2028,NOS2,FR00,
TY2028,NOS2,NL00,
TY2028,NOS2,NOS2,
TY2028,NOS2,UK00,
TY2028,UK00,BE00,0.863636364
TY2028,UK00,DE00,0.828282828
TY2028,UK00,DKW1,0.787878788
TY2028,UK00,FR00,0.814814815
TY2028,UK00,NL00,0.387205387
TY2028,UK00,NOS2,0
TY2028,UK00,UK00,1
TY2028L,BE00,BE00,1
TY2028L,BE00,DE00,0.973448496
TY2028L,BE00,DKW1,0.852527191
TY2028L,BE00,FR00,0.639795266
TY2028L,BE00,NL00,0.079974408
TY2028L,BE00,NOS2,0
TY2028L,BE00,UK00,0.147472809
TY2028L,DE00,BE00,0.952425665
TY2028L,DE00,DE00,1
TY2028L,DE00,DKW1,0.86541471
TY2028L,DE00,FR00,0.604694836
