Load,Native Load,WeekHour
14.6,13.7,1
14.2,13.3,2
14.1,13.1,3
14.0,13.1,4
14.1,13.3,5
15.2,14.5,6
15.9,15.2,7
18.3,17.6,8
20.4,19.3,9
21.9,20.0,10
23.8,20.2,11
24.8,19.9,12
25.3,20.0,13
25.0,20.1,14
23.6,19.9,15
21.3,19.1,16
19.3,18.2,17
18.5,18.0,18
18.2,17.8,19
17.8,17.5,20
17.1,16.6,21
15.9,15.4,22
16.5,16.0,23
16.1,15.4,24
15.6,14.9,25
15.2,14.4,26
15.1,14.2,27
15.1,14.2,28
15.1,14.4,29
15.5,14.9,30
16.2,15.6,31
18.6,18.0,32
20.7,19.8,33
22.1,20.3,34
24.1,20.4,35
25.1,20.0,36
25.6,20.0,37
25.3,20.1,38
23.7,19.9,39
21.3,19.1,40
19.1,18.0,41
18.3,17.8,42
18.1,17.7,43
17.8,17.4,44
17.0,16.7,45
15.8,15.4,46
16.6,16.1,47
16.1,15.5,48
15.7,14.9,49
15.2,14.4,50
15.0,14.1,51
15.0,14.1,52
15.0,14.2,53
15.5,14.9,54
16.1,15.5,55
18.5,18.0,56
20.7,19.8,57
22.0,20.2,58
23.9,20.3,59
25.0,19.9,60
25.5,20.0,61
25.3,20.1,62
23.7,19.9,63
21.3,19.2,64
19.3,18.2,65
18.4,17.9,66
18.1,17.7,67
17.7,17.4,68
17.0,16.6,69
15.9,15.4,70
16.7,16.1,71
16.2,15.6,72
15.7,14.9,73
15.3,14.4,74
15.1,14.1,75
15.1,14.1,76
15.0,14.2,77
15.5,14.9,78
16.2,15.6,79
18.6,18.0,80
20.8,19.8,81
22.3,20.4,82
24.0,20.5,83
25.1,20.1,84
25.6,20.1,85
25.3,20.2,86
23.7,20.0,87
21.3,19.2,88
19.2,18.2,89
18.5,18.0,90
18.3,17.9,91
17.9,17.6,92
17.3,16.9,93
16.1,15.6,94
16.8,16.2,95
16.2,15.6,96
15.8,15.0,97
15.3,14.5,98
15.1,14.2,99
15.1,14.2,100
15.1,14.3,101
15.5,14.9,102
16.0,15.4,103
18.1,17.5,104
20.1,19.1,105
21.6,19.7,106
23.4,19.9,107
24.5,19.6,108
25.0,19.5,109
24.6,19.5,110
23.0,19.1,111
20.6,18.3,112
18.7,17.6,113
17.9,17.3,114
17.6,17.1,115
17.2,16.8,116
16.5,16.0,117
15.6,15.1,118
16.6,16.0,119
16.2,15.5,120
15.6,14.9,121
15.1,14.3,122
14.9,14.0,123
14.9,13.9,124
14.9,13.8,125
14.7,13.6,126
15.6,14.6,127
17.2,16.1,128
19.1,17.5,129
21.1,18.6,130
23.2,19.2,131
24.4,19.3,132
24.9,19.2,133
24.5,19.0,134
23.1,18.8,135
21.1,18.5,136
19.9,18.5,137
19.0,18.2,138
18.6,17.9,139
18.1,17.4,140
17.5,16.8,141
16.9,16.2,142
16.3,15.6,143
15.4,14.6,144
15.0,14.1,145
14.8,13.7,146
14.4,13.3,147
14.3,13.1,148
14.2,13.0,149
14.4,13.3,150
15.0,13.8,151
16.0,14.6,152
17.4,15.5,153
19.3,16.3,154
21.5,16.9,155
22.8,17.3,156
23.5,17.5,157
23.2,17.4,158
22.0,17.4,159
20.1,17.3,160
19.1,17.6,161
18.6,17.7,162
18.2,17.6,163
17.8,17.3,164
17.3,16.7,165
16.7,16.0,166
16.0,15.3,167
15.0,14.3,168
