Load,Native Load,WeekHour
21.6,19.0,1
21.3,18.6,2
21.1,18.3,3
21.1,18.2,4
21.1,18.3,5
22.0,19.5,6
22.8,20.5,7
25.7,23.2,8
29.0,25.5,9
31.9,26.5,10
34.8,26.6,11
36.3,26.4,12
36.9,26.7,13
36.5,26.8,14
34.9,26.9,15
32.1,26.5,16
29.3,25.8,17
28.6,26.6,18
28.1,26.5,19
27.5,26.0,20
26.5,24.8,21
25.0,23.2,22
25.3,23.5,23
24.8,22.9,24
24.5,22.4,25
24.1,22.0,26
23.9,21.7,27
23.9,21.6,28
23.9,21.7,29
22.7,20.3,30
23.4,21.1,31
26.1,23.8,32
29.3,26.1,33
32.3,26.8,34
35.4,26.9,35
36.9,26.7,36
37.5,26.8,37
37.0,26.8,38
35.3,26.8,39
32.2,26.3,40
29.1,25.4,41
28.1,26.1,42
27.6,26.0,43
27.1,25.6,44
26.2,24.5,45
24.7,22.9,46
25.3,23.5,47
24.8,22.9,48
24.4,22.2,49
23.9,21.7,50
23.8,21.4,51
23.7,21.3,52
23.6,21.2,53
22.8,20.3,54
23.4,21.0,55
26.0,23.8,56
29.3,26.1,57
32.0,26.7,58
35.0,26.8,59
36.5,26.6,60
37.2,26.8,61
36.9,26.9,62
35.2,26.9,63
32.4,26.6,64
29.5,25.8,65
28.3,26.2,66
27.7,26.1,67
27.2,25.6,68
26.2,24.5,69
24.8,22.9,70
25.4,23.5,71
24.9,22.9,72
24.5,22.4,73
24.0,21.8,74
23.9,21.5,75
23.8,21.3,76
23.6,21.3,77
22.8,20.3,78
23.5,21.1,79
26.2,23.9,80
29.5,26.2,81
32.3,26.9,82
35.3,27.0,83
36.7,26.8,84
37.3,27.0,85
36.9,27.0,86
35.2,27.0,87
32.2,26.5,88
29.2,25.7,89
28.3,26.3,90
27.9,26.2,91
27.3,25.7,92
26.5,24.8,93
25.0,23.1,94
25.5,23.6,95
24.9,22.9,96
24.5,22.4,97
24.1,21.8,98
23.9,21.6,99
23.9,21.5,100
23.8,21.4,101
22.9,20.3,102
23.3,20.9,103
25.6,23.2,104
28.5,25.1,105
31.5,26.1,106
34.6,26.4,107
36.1,26.3,108
36.6,26.3,109
36.2,26.3,110
34.5,26.1,111
31.5,25.7,112
28.8,25.2,113
27.5,25.3,114
26.9,25.1,115
26.4,24.6,116
25.5,23.6,117
24.3,22.4,118
25.1,23.2,119
24.6,22.6,120
24.2,21.9,121
23.7,21.3,122
23.6,21.0,123
23.5,20.8,124
23.3,20.7,125
21.8,18.6,126
22.9,19.7,127
24.6,21.3,128
27.3,22.8,129
30.9,24.1,130
34.4,25.0,131
35.7,25.3,132
36.1,25.2,133
35.5,25.1,134
33.9,25.0,135
31.0,24.8,136
28.7,24.7,137
26.8,23.9,138
26.0,23.7,139
25.4,23.1,140
24.7,22.4,141
24.0,21.6,142
23.3,20.8,143
22.3,19.8,144
22.0,19.3,145
21.8,19.0,146
21.5,18.6,147
21.4,18.3,148
21.2,18.1,149
21.4,18.2,150
22.1,18.8,151
23.6,19.7,152
25.9,20.8,153
29.5,21.8,154
32.9,22.5,155
34.3,23.0,156
35.0,23.3,157
34.5,23.3,158
33.0,23.4,159
30.0,23.4,160
27.8,23.7,161
26.3,23.4,162
25.6,23.3,163
25.1,22.9,164
24.5,22.3,165
23.6,21.4,166
22.9,20.5,167
21.9,19.4,168
