Target Year,Sum of Value numbers only,Subsector
2028,0.2,DSR shift - agriculture
2028,0.1,DSR shift - datacenters
2028,0.4,DSR shift - EV
2028,0.4,DSR shift - HP
2030,0.2,DSR shift - agriculture
2030,0.1,DSR shift - datacenters
2030,0.5,DSR shift - EV
2030,0.4,DSR shift - HP
2033,0.2,DSR shift - agriculture
2033,0.2,DSR shift - datacenters
2033,0.9,DSR shift - EV
2033,0.5,DSR shift - HP
2035,0.2,DSR shift - agriculture
2035,0.2,DSR shift - datacenters
2035,1.1,DSR shift - EV
2035,0.6,DSR shift - HP
