Target Year,Sum of Value numbers only,Subsector
2028,0.2,DSR shed - chemicals
2028,0.1,DSR shed - datacenters
2028,0.1,DSR shed - food
2028,0.0,DSR shed - metals
2028,0.3,DSR shed - other
2028,0.1,DSR shed - paper
2028,0.0,DSR shed - refineries
2028,0.0,DSR shed - steel
2030,0.2,DSR shed - chemicals
2030,0.1,DSR shed - datacenters
2030,0.1,DSR shed - food
2030,0.0,DSR shed - metals
2030,0.3,DSR shed - other
2030,0.1,DSR shed - paper
2030,0.0,DSR shed - refineries
2030,0.0,DSR shed - steel
2033,0.3,DSR shed - chemicals
2033,0.2,DSR shed - datacenters
2033,0.1,DSR shed - food
2033,0.0,DSR shed - metals
2033,0.3,DSR shed - other
2033,0.1,DSR shed - paper
2033,0.0,DSR shed - refineries
2033,0.0,DSR shed - steel
2035,0.3,DSR shed - chemicals
2035,0.2,DSR shed - datacenters
2035,0.1,DSR shed - food
2035,0.0,DSR shed - metals
2035,0.3,DSR shed - other
2035,0.1,DSR shed - paper
2035,0.0,DSR shed - refineries
2035,0.0,DSR shed - steel
