Target Year,Country,Category,Sum of Value-GW
2028,Belgium,Battery,1.2
2028,Belgium,DSR,2.1
2028,Belgium,Electrolyser,0.1
2028,Denmark,Battery,0.4
2028,Denmark,DSR,0.0
2028,Denmark,Electrolyser,6.2
2028,France,Battery,0.0
2028,France,DSR,5.0
2028,France,Electrolyser,1.6
2028,Germany,Battery,15.0
2028,Germany,DSR,3.1
2028,Germany,Electrolyser,9.5
2028,Netherlands,Battery,5.7
2028,Netherlands,DSR,1.4
2028,Netherlands,Electrolyser,2.2
2028,Norway,Battery,0.0
2028,Norway,DSR,0.0
2028,Norway,Electrolyser,0.1
2028,UK,Battery,22.2
2028,UK,DSR,4.9
2028,UK,Electrolyser,0.2
2030,Belgium,Battery,2.3
2030,Belgium,DSR,2.4
2030,Belgium,Electrolyser,0.1
2030,Denmark,Battery,0.7
2030,Denmark,DSR,0.3
2030,Denmark,Electrolyser,7.3
2030,France,Battery,0.0
2030,France,DSR,5.7
2030,France,Electrolyser,3.5
2030,Germany,Battery,21.0
2030,Germany,DSR,5.7
2030,Germany,Electrolyser,15.4
2030,Netherlands,Battery,8.6
2030,Netherlands,DSR,1.6
2030,Netherlands,Electrolyser,3.3
2030,Norway,Battery,0.0
2030,Norway,DSR,0.0
2030,Norway,Electrolyser,0.2
2030,UK,Battery,24.9
2030,UK,DSR,6.9
2030,UK,Electrolyser,0.8
2033,Belgium,Battery,3.3
2033,Belgium,DSR,2.8
2033,Belgium,Electrolyser,0.1
2033,Denmark,Battery,0.8
2033,Denmark,DSR,0.3
2033,Denmark,Electrolyser,10.2
2033,France,Battery,0.0
2033,France,DSR,6.3
2033,France,Electrolyser,8.3
2033,Germany,Battery,31.5
2033,Germany,DSR,10.5
2033,Germany,Electrolyser,28.6
2033,Netherlands,Battery,12.9
2033,Netherlands,DSR,1.9
2033,Netherlands,Electrolyser,5.1
2033,Norway,Battery,0.0
2033,Norway,DSR,0.0
2033,Norway,Electrolyser,0.2
2033,UK,Battery,25.7
2033,UK,DSR,10.3
2033,UK,Electrolyser,1.5
2035,Belgium,Battery,3.9
2035,Belgium,DSR,3.2
2035,Belgium,Electrolyser,0.1
2035,Denmark,Battery,0.8
2035,Denmark,DSR,0.3
2035,Denmark,Electrolyser,12.0
2035,France,Battery,0.0
2035,France,DSR,6.6
2035,France,Electrolyser,11.2
2035,Germany,Battery,39.6
2035,Germany,DSR,14.2
2035,Germany,Electrolyser,37.5
2035,Netherlands,Battery,15.8
2035,Netherlands,DSR,2.0
2035,Netherlands,Electrolyser,6.4
2035,Norway,Battery,0.0
2035,Norway,DSR,0.0
2035,Norway,Electrolyser,0.4
2035,UK,Battery,26.5
2035,UK,DSR,12.9
2035,UK,Electrolyser,2.0
