Target Year,Country,Category,Sum of Value-GW
2028,Belgium,Coal,0.4
2028,Denmark,Coal,2.4
2028,France,Coal,0.0
2028,Germany,Coal,14.2
2028,Netherlands,Coal,2.9
2028,Norway,Coal,0.0
2028,UK,Coal,0.0
2030,Belgium,Coal,0.4
2030,Denmark,Coal,2.0
2030,France,Coal,0.0
2030,Germany,Coal,14.9
2030,Netherlands,Coal,0.0
2030,Norway,Coal,0.0
2030,UK,Coal,0.0
2033,Belgium,Coal,0.4
2033,Denmark,Coal,1.7
2033,France,Coal,0.0
2033,Germany,Coal,9.1
2033,Netherlands,Coal,0.0
2033,Norway,Coal,0.0
2033,UK,Coal,0.0
2035,Belgium,Coal,0.4
2035,Denmark,Coal,1.3
2035,France,Coal,0.0
2035,Germany,Coal,4.8
2035,Netherlands,Coal,0.0
2035,Norway,Coal,0.0
2035,UK,Coal,0.0
2028,Belgium,Gas,5.3
2028,Denmark,Gas,1.7
2028,France,Gas,6.7
2028,Germany,Gas,29.7
2028,Netherlands,Gas,12.2
2028,Norway,Gas,0.0
2028,UK,Gas,29.1
2030,Belgium,Gas,7.2
2030,Denmark,Gas,2.2
2030,France,Gas,6.7
2030,Germany,Gas,32.3
2030,Netherlands,Gas,11.0
2030,Norway,Gas,0.0
2030,UK,Gas,31.1
2033,Belgium,Gas,7.2
2033,Denmark,Gas,4.5
2033,France,Gas,6.7
2033,Germany,Gas,49.3
2033,Netherlands,Gas,9.8
2033,Norway,Gas,0.0
2033,UK,Gas,32.0
2035,Belgium,Gas,7.2
2035,Denmark,Gas,4.5
2035,France,Gas,2.9
2035,Germany,Gas,55.6
2035,Netherlands,Gas,9.3
2035,Norway,Gas,0.0
2035,UK,Gas,35.5
2028,Belgium,Hydro,1.4
2028,Denmark,Hydro,0.0
2028,France,Hydro,27.1
2028,Germany,Hydro,13.5
2028,Netherlands,Hydro,0.0
2028,Norway,Hydro,33.2
2028,UK,Hydro,4.7
2030,Belgium,Hydro,1.5
2030,Denmark,Hydro,0.0
2030,France,Hydro,27.2
2030,Germany,Hydro,13.9
2030,Netherlands,Hydro,0.0
2030,Norway,Hydro,34.1
2030,UK,Hydro,5.5
2033,Belgium,Hydro,1.5
2033,Denmark,Hydro,0.0
2033,France,Hydro,27.2
2033,Germany,Hydro,14.1
2033,Netherlands,Hydro,0.0
2033,Norway,Hydro,34.2
2033,UK,Hydro,6.1
2035,Belgium,Hydro,1.5
2035,Denmark,Hydro,0.0
2035,France,Hydro,27.7
2035,Germany,Hydro,14.5
2035,Netherlands,Hydro,0.0
2035,Norway,Hydro,43.0
2035,UK,Hydro,6.1
2028,Belgium,Nuclear,2.1
2028,Denmark,Nuclear,0.0
2028,France,Nuclear,63.0
2028,Germany,Nuclear,0.0
2028,Netherlands,Nuclear,0.5
2028,Norway,Nuclear,0.0
2028,UK,Nuclear,3.7
2030,Belgium,Nuclear,2.1
2030,Denmark,Nuclear,0.0
2030,France,Nuclear,63.0
2030,Germany,Nuclear,0.0
2030,Netherlands,Nuclear,0.5
2030,Norway,Nuclear,0.0
2030,UK,Nuclear,2.9
2033,Belgium,Nuclear,2.1
2033,Denmark,Nuclear,0.0
2033,France,Nuclear,63.0
2033,Germany,Nuclear,0.0
2033,Netherlands,Nuclear,0.5
2033,Norway,Nuclear,0.0
2033,UK,Nuclear,4.6
2035,Belgium,Nuclear,2.1
2035,Denmark,Nuclear,0.0
2035,France,Nuclear,63.0
2035,Germany,Nuclear,0.0
2035,Netherlands,Nuclear,0.5
2035,Norway,Nuclear,0.0
2035,UK,Nuclear,6.0
2028,Belgium,Oil,0.1
2028,Denmark,Oil,0.7
2028,France,Oil,0.0
2028,Germany,Oil,1.2
2028,Netherlands,Oil,0.0
2028,Norway,Oil,0.0
2028,UK,Oil,0.3
2030,Belgium,Oil,0.1
